statement,timestamp,link
Ross Stores to open 60 new stores in fiscal 2021,08:48AM,http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/3vf0fjLgBsY/story.aspx
Ross Stores to open 60 new stores in fiscal 2021,08:48AM,http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/3vf0fjLgBsY/story.aspx
U.S. Stock Futures Pare Losses; Dollar Climbs: Markets Wrap,08:44AM,https://www.bloomberg.com/news/articles/2021-03-07/asia-stocks-to-open-week-higher-currencies-steady-markets-wrap
Student loan forgiveness may become tax-free under Covid relief bill. Here's what that means for borrowers,08:39AM,https://www.cnbc.com/2021/03/08/what-tax-free-student-loan-forgiveness-would-mean-for-borrowers-.html
Singapore court approves winding up of oil trader Hin Leong-sources,08:37AM,https://www.reuters.com/article/singapore-hinleong-bankruptcy/singapore-court-approves-winding-up-of-oil-trader-hin-leong-sources-idUSL4N2L62L4
UPDATE 2-Greece eyes lifting COVID curbs in retail before end-March^ tourism in May,08:37AM,https://www.reuters.com/article/health-coronavirus-greece/update-2-greece-eyes-lifting-covid-curbs-in-retail-before-end-march-tourism-in-may-idUSL8N2L62YA
Saudi wealth fund PIF to support corporate credit growth^ S&P says,08:37AM,https://www.reuters.com/article/saudi-pif-sp/saudi-wealth-fund-pif-to-support-corporate-credit-growth-sp-says-idUSL1N2L60W0
Peloton stock gets an upgrade at MKM,08:31AM,http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/4lutFcckOyQ/story.aspx
UPDATE 1-American Airlines to offer $5 bln in notes to repay government debt,08:27AM,https://www.reuters.com/article/american-airline-debt/update-1-american-airlines-to-offer-5-bln-in-notes-to-repay-government-debt-idUSL4N2L62XM
Libya Rival Parliaments Hold First Joint Talks on New Government,08:25AM,https://www.bloomberg.com/news/articles/2021-03-08/libya-rival-assemblies-hold-first-joint-talks-on-new-government?srnd=markets-vp
SEC suing AT&T for telling analysts nonpublic information,08:23AM,https://www.foxbusiness.com/markets/sec-suing-att-for-telling-analysts-nonpublic-information
Vista Equity sweetens deal to acquire Pluralsight,08:21AM,https://www.reuters.com/article/pluralsight-ma-vistaequity/vista-equity-sweetens-deal-to-acquire-pluralsight-idUSL4N2L633W
GameStop stock surges after tapping Chewy co-founder Ryan Cohen to chair new strategy committee,08:20AM,http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/w5sD0bZa_ok/story.aspx
Treasury Yields Jump Again on Covid-19 Stimulus^ Jobs,08:20AM,https://www.wsj.com/articles/treasury-yields-jump-again-on-covid-19-stimulus-jobs-11615209647
Tech stocks are selling off. Don’t buy the dip^ sell the bounces^ strategist says.,08:19AM,https://www.marketwatch.com/story/tech-stocks-are-selling-off-dont-buy-the-dip-sell-the-bounces-strategist-says-11615206493
Cathie Wood's ARK Faces Test as Tech Rally Cools,08:06AM,https://www.wsj.com/articles/cathie-woods-ark-faces-test-as-tech-rally-cools-11615208809
UPDATE 1-Laser maker Coherent says II-VI's $6.2 bln bid superior to Lumentum deal,08:01AM,https://www.reuters.com/article/coherent-ma-ii-vi/update-1-laser-maker-coherent-says-ii-vis-6-2-bln-bid-superior-to-lumentum-deal-idUSL4N2L62S3
UPDATE 2-GameStop taps shareholder Ryan Cohen to lead e-commerce shift- Bloomberg,07:56AM,https://www.reuters.com/article/gamestop-activist/update-2-gamestop-taps-shareholder-ryan-cohen-to-lead-e-commerce-shift-bloomberg-idUSL4N2L62VI
Chamath Palihapitiya Faces Questions About a Big Stock Sale,07:54AM,https://www.nytimes.com/2021/03/08/business/dealbook/chamath-palihapitiya-spac.html
GLOBAL MARKETS-Tech weighs on stocks as yields ring inflation alarm,07:51AM,https://www.reuters.com/article/global-markets/global-markets-tech-weighs-on-stocks-as-yields-ring-inflation-alarm-idUSL8N2L62MO
UPDATE 1-Greece hopes to lift COVID curbs in retail before end-March^ tourism in May,07:45AM,https://www.reuters.com/article/health-coronavirus-greece/update-1-greece-hopes-to-lift-covid-curbs-in-retail-before-end-march-tourism-in-may-idUSL8N2L62YA
FDA authorizes Adaptive's T-cell test for people who have already had COVID-19,07:45AM,http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/ukNsQi4thUU/story.aspx
Stocks making the biggest moves in the premarket: Athene^ Apollo Global^ GE^ AerCap & more,07:45AM,https://www.cnbc.com/2021/03/08/stocks-making-the-biggest-moves-in-the-premarket-athene-apollo-global-ge-aercap-more.html
American Airlines to offer $5 bln in notes to repay government debt,07:41AM,https://www.reuters.com/article/american-airline-debt/american-airlines-to-offer-5-bln-in-notes-to-repay-government-debt-idUSL4N2L62WP
COLUMN-Hedge fund positioning shifts in expectation of oil price peak: Kemp,07:41AM,https://www.reuters.com/article/global-oil-kemp/column-hedge-fund-positioning-shifts-in-expectation-of-oil-price-peak-kemp-idUSL8N2L6322
UPDATE 1-GameStop taps shareholder Ryan Cohen to lead e-commerce shift- Bloomberg,07:41AM,https://www.reuters.com/article/gamestop-activist/update-1-gamestop-taps-shareholder-ryan-cohen-to-lead-e-commerce-shift-bloomberg-idUSL4N2L62VI
Alcoa to offer $500 million of bonds,07:34AM,http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/XGzKyACnJ2I/story.aspx
UPDATE 2-DuPont to buy Laird Performance for $2.3 bln in electronics materials push,07:30AM,https://www.reuters.com/article/laird-performance-materials-ma-dupont-de/update-2-dupont-to-buy-laird-performance-for-2-3-bln-in-electronics-materials-push-idUSL4N2L62PM
UPDATE 2-BoE's Bailey urges "cautionary realism" about post-COVID recovery,07:30AM,https://www.reuters.com/article/health-coronavirus-britain-boe/update-2-boes-bailey-urges-cautionary-realism-about-post-covid-recovery-idUSL8N2L629O
GameStop taps shareholder Ryan Cohen to lead e-commerce shift- Bloomberg,07:30AM,https://www.reuters.com/article/gamestop-activist/gamestop-taps-shareholder-ryan-cohen-to-lead-e-commerce-shift-bloomberg-idUSL4N2L62UZ
Crocs to offer $300 million of 8-year bonds,07:30AM,http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/NQl_-Qafy_8/story.aspx
Fears for 5^000 UK steel jobs as lender nears collapse,07:29AM,https://www.bbc.co.uk/news/business-56320416
American Airlines to issue $5 billion of bonds^ enter $2.5 billion term loan facility to repay loan owed to U.S. Treasury,07:27AM,http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/PwDO2pewgLw/story.aspx
