Topic,Statement,Link,Date
RITES share price up 7% on bagging orders worth Rs 93.18 crore,The share touched its 52-week high of Rs 321 on February 26^ 2020 and 52-week low of Rs 191 on March 24^ 2020.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/rites-share-price-up-7-on-bagging-orders-worth-rs-93-18-crore-6588821.html,March 01^ 2021 03:18 PM IST
Indian markets spooked on gains in US Treasury Bond Yields: What should investors do now?,Morgan Stanley^ in a recent note^ highlighted that over the last 20 years^ there have been four major rising long bond yield cycles. Each one of them have been positively correlated to equity prices – i.e.^ rising yields and rising share prices.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/markets/indian-markets-spooked-because-of-rise-in-us-treasury-bond-yields-what-should-investors-do-now-6585371.html,March 01^ 2021 03:00 PM IST
Neutral Nestlé India; target of Rs 17^500: Motilal Oswal,Motilal Oswal recommended Neutral rating on Nestlé India with a target price of Rs 17^500 in its research report dated February 27^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/neutral-nestle-india-target-of-rs-17500-motilal-oswal-6588441.html,March 01^ 2021 02:44 PM IST
Buy Tata Motors; target of Rs 400: Motilal Oswal,Motilal Oswal is bullish on Tata Motors recommended buy rating on the stock with a target price of Rs 400 in its research report dated February 27^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/buy-tata-motors-target-of-rs-400-motilal-oswal-6588281.html,March 01^ 2021 02:43 PM IST
Nifty can fall to 14^200-14^300^ buy these 3 stocks for up to 27% return,The Benchmark index has seen 5 DMA and 10 DMA bearish crossover formations which are supportive for the continuation of bearish price movement further.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/markets/nifty-can-fall-to-14200-14300-buy-these-3-stocks-for-up-to-27-return-6585881.html,March 01^ 2021 02:16 PM IST
TVS Motor Company share price gains 5% on February sales number,The company exported 1^01^789 units in February 2021^ 23 percent more than 82^877 units in the year-ago period.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/tvs-motor-company-share-price-gains-5-on-february-sales-number-6588301.html,March 01^ 2021 02:03 PM IST
Mahindra & Mahindra share price up 3%^ February tractor sales up 25% YoY,Tractor exports jumped 43 percent at 976 units against 684 units (YoY)^ the company said.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/mahindra-mahindra-share-price-up-3-on-february-tractor-sales-6588001.html,March 01^ 2021 01:50 PM IST
Buy Inox Leisure: target of Rs 400: Sharekhan,Sharekhan is bullish on Inox Leisure has recommended buy rating on the stock with a target price of Rs 400 in its research report dated February 26^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/buy-inox-leisure-target-of-rs-400-sharekhan-2-6587921.html,March 01^ 2021 01:14 PM IST
Buy Tata Motors: target of Rs 365: Sharekhan,Sharekhan is bullish on Tata Motors has recommended buy rating on the stock with a target price of Rs 365 in its research report dated February 26^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/buy-tata-motors-target-of-rs-365-sharekhan-2-6587911.html,March 01^ 2021 01:14 PM IST
Buy Nestle India: target of Rs 19^055: Sharekhan,Sharekhan is bullish on Nestle India has recommended buy rating on the stock with a target price of Rs 19^055 in its research report dated February 26^ 2021.,www.moneycontrol.comhttps://www.moneycontrol.com/news/business/stocks/buy-nestle-india-target-of-rs-19055-sharekhan-3-6587901.html,March 01^ 2021 01:14 PM IST
