Topic,Statement,Link,Date
IDBI Bank share price surges 17% as RBI takes it out of PCA framework,The bank has provided a written commitment that it would comply with the norms of minimum regulatory capital^ net NPA and leverage ratio on an ongoing basis.,https://www.moneycontrol.com/news/business/stocks/idbi-bank-share-price-surges-17-as-rbi-takes-it-out-of-pca-framework-6635671.html,March 12^ 2021 10:34 AM IST
Prestige Estates share price gains as CLSA retains buy^ raises target to Rs 360,Prestige Estates Projects concluded phase 1 of the proposed transaction with Blackstone Group worth Rs 74^670 million^ the real estate developer said on March 10,https://www.moneycontrol.com/news/business/stocks/prestige-estates-share-price-gains-as-clsa-retains-buy-raises-target-to-rs-360-6636541.html,March 12^ 2021 10:20 AM IST
39 companies see consistent increase in public shareholding in 2020; worth a look?,Investors should stay with companies that have dynamic management^ visible growth^ viable business model^ low debt and innovative strategy^ while firms with uncertainty surrounding them should be sold^ say experts.,https://www.moneycontrol.com/news/business/markets/39-companies-see-consistent-increase-in-public-shareholding-in-2020-worth-a-look-6631301.html,March 12^ 2021 10:00 AM IST
Quick Heal Technologies share price gains 4% on buyback approval,The company plans to buyback up to 63^26^530 equity shares^ 9.85 percent of the total paid-up equity share capital^ for an amount not exceeding Rs 1^550 million at Rs 245 apiece .,https://www.moneycontrol.com/news/business/stocks/quick-heal-technologies-share-price-gains-4-on-buyback-approval-6636671.html,March 12^ 2021 09:57 AM IST
V-Mart Retail: Does the value retailer have the right elements for a portfolio value?,With the recently concluded QIP issue and the industry reaching normalcy^ V-Mart is ready to turn over the leaf for the next growth script,https://www.moneycontrol.com/news/business/moneycontrol-research/v-mart-retail-does-the-value-retailer-have-the-right-elements-for-a-portfolio-value-6636451.html,March 12^ 2021 09:57 AM IST
Why PSU bank privatisation will sail through,Enough margin of safety for an acquirer of PSU banks,https://www.moneycontrol.com/news/business/earnings/why-psu-bank-privatisation-will-sail-through-6636391.html,March 12^ 2021 09:40 AM IST
Sell USDINR; target of 72.90 - 72.80: ICICI Direct,ICICI Direct^ The rupee remained largely range bound in the last trading session despite the weakness seen in the Dollar index.,https://www.moneycontrol.com/news/business/stocks/sell-usdinr-target-of-72-90-72-80-icici-direct-6636411.html,March 12^ 2021 09:25 AM IST
Buy Sundram Fasteners: target of Rs 850: Sharekhan,Sharekhan is bullish on Sundram Fasteners has recommended buy rating on the stock with a target price of Rs 850 in its research report dated March 10^ 2021.,https://www.moneycontrol.com/news/business/stocks/buy-sundram-fasteners-target-of-rs-850-sharekhan-6636271.html,March 12^ 2021 09:12 AM IST
Top buy and sell ideas by Mitessh Thakkar^ Rahul Mohindar for short term,Mitessh Thakkar of mitesshthakkar.com recommends buying Bajaj Finance with a stop loss of Rs 5^520^ target at Rs 5^700 and Hindustan Unilever with a stop loss of Rs 2^224^ target at Rs 2^285.,https://www.moneycontrol.com/news/business/stocks/top-buy-and-sell-ideas-by-mitessh-thakkar-rahul-mohindar-for-short-term-8-6636351.html,March 12^ 2021 09:12 AM IST
Agri Picks Report: Geojit,According to Geojit^ Malaysia's crude palm oil output fell 1.9% on month to 1.1 mln tn in February^ data from Malaysian Palm Oil Board showed.,https://www.moneycontrol.com/news/business/stocks/agri-picks-report-geojit-181-6636261.html,March 12^ 2021 09:06 AM IST
Buy Laurus Labs: target of Rs 450: Sharekhan,Sharekhan is bullish on Laurus Labs has recommended buy rating on the stock with a target price of Rs 450 in its research report dated March 10^ 2021.,https://www.moneycontrol.com/news/business/stocks/buy-laurus-labs-target-of-rs-450-sharekhan-6636231.html,March 12^ 2021 08:57 AM IST
DAILY VOICE | The second leg of current bull market likely to be driven by expansion of earnings: Hiren Ved of Alchemy Capital,Mid-caps and small-caps are the most geared to economic recovery. This is the reason why they have underperformed in the last 3-4 years as growth was missing^ says Ved.,https://www.moneycontrol.com/news/business/markets/daily-voice-the-second-leg-of-current-bull-market-likely-to-be-driven-by-expansion-of-earnings-hiren-ved-of-alchemy-capital-6632421.html,March 12^ 2021 08:52 AM IST
Buy AU Small Finance Bank: target of Rs 1500: Sharekhan,Sharekhan is bullish on AU Small Finance Bank has recommended buy rating on the stock with a target price of Rs 1500 in its research report dated March 10^ 2021.,https://www.moneycontrol.com/news/business/stocks/buy-au-small-finance-bank-target-of-rs-1500-sharekhan-6636171.html,March 12^ 2021 08:47 AM IST
