Topic,Statement,Link
company :ULTRACEMCO.NS
Hindalco to supply 1.2 million tonnes of bauxite residue to UltraTech Cement,India's Hindalco Industries Ltd <HALC.NS> on Thursday signed an agreement with UltraTech Cement Ltd <ULTC.NS> to supply 1.2 million tonnes of bauxite residue every year to be used as a raw material for cement^ as part of its push for alternative methods of disposing of the toxic waste.  Hindalco^ India's top aluminium and copper producer^ said it would supply 2.5 million tonnes of bauxite residue^ also known as red mud^ to 40 cement companies this year^ to help cement makers to replace their existing raw materials such as laterite^ a mineral.  Of the 2.5 million tonnes^ 1.2 million tonnes would go to UltraTech's 14 cement plants spread across seven states.,www.in.finance.yahoo.com/news//news/hindalco-supply-1-2-million-094827111.html

company :HINDALCO.NS
Vedanta^ Hindalco among winners of country's coal mine auctions,India's Vedanta Ltd and Hindalco Industries Ltd were among the first private companies chosen to operate coal mines in the country without end-use restrictions^ the government said on Monday.  The world's second largest consumer of coal^ India allocated 38 coal mines for auction to the private sector^ offering financial incentives to attract investment and reduce imports.  The auctions are conducted in two stages^ the first of which is the submission of a technical bid^ evaluated by the coal ministry.,www.in.finance.yahoo.com/news//news/vedanta-hindalco-among-winners-countrys-142407963.html
Hindalco to supply 1.2 million tonnes of bauxite residue to UltraTech Cement,India's Hindalco Industries Ltd <HALC.NS> on Thursday signed an agreement with UltraTech Cement Ltd <ULTC.NS> to supply 1.2 million tonnes of bauxite residue every year to be used as a raw material for cement^ as part of its push for alternative methods of disposing of the toxic waste.  Hindalco^ India's top aluminium and copper producer^ said it would supply 2.5 million tonnes of bauxite residue^ also known as red mud^ to 40 cement companies this year^ to help cement makers to replace their existing raw materials such as laterite^ a mineral.  Of the 2.5 million tonnes^ 1.2 million tonnes would go to UltraTech's 14 cement plants spread across seven states.,www.in.finance.yahoo.com/news//news/hindalco-supply-1-2-million-094827111.html
Deals of the day-Mergers and acquisitions,** Renewable power producer Pattern Energy won shareholders' approval to be taken private by Canada Pension Plan Investment Board (CPPIB) for $2.63 billion.  ** German utility E.ON has shortlisted Czech billionaires and an energy group as potential buyers of its 800 million euro ($908 million) Czech retail operations^ which it must sell to appease competition regulators.  ** Britain's government is likely to delay the full sale of its 62% stake in Royal Bank of Scotland until at least 2025^ Sky News reported^ citing a source close to the bank.,www.in.finance.yahoo.com/news//news/deals-day-mergers-acquisitions-102959487.html

company :BAJAJ-AUTO.NS
Bajaj Auto focuses on exports as India battles pandemic,Bajaj Auto <BAJA.NS> is betting that an early recovery from the ravages of COVID-19 in motorcycle sales in its export markets will help it offset pandemic-related disruption at home^ its chief financial officer said.  "All our export markets were also affected but recovery has been better (there) than in India^" Soumen Ray told Reuters in an interview late on Wednesday.  Bajaj plans to open an assembly plant in Brazil within 18 months^ as well as a design office in Thailand to handle sales for the ASEAN region^ and another design office in Europe^ Ray said.,www.in.finance.yahoo.com/news//news/bajaj-auto-focuses-exports-india-175352450.html
Bajaj Auto unions demand factory halt after 250 workers catch coronavirus,Workers at Bajaj Auto^ India's biggest exporter of motorbikes^ are demanding the temporary closure of one of its plants after 250 employees there tested positive for coronavirus^ its unions said on Saturday^ as companies struggle to ramp up operations.  India went into complete lockdown in late March to curb the spread of the virus but it has recently eased restrictions despite the number of cases surging^ putting some companies in a difficult position as they try to revive production.  The Bajaj Auto factory affected is located in western Maharashtra^ the state with the highest number of cases of COVID-19^ the disease the virus causes.,www.in.finance.yahoo.com/news//news/bajaj-auto-unions-demand-factory-140722186.html

company :MARUTI.NS
Maruti Suzuki India sees margins contract^ shares fall,Maruti Suzuki India Ltd posted a drop in quarterly margins on Thursday as rising costs took the shine off an uptick in demand^ sending shares of the country's top carmaker down 3.5%.  The COVID-19 pandemic has worsened problems for Indian carmakers^ which were already dealing with tepid demand and an inventory pile-up^ though there have been signs of a slow pick-up in car sales as more customers bought vehicles during the festive season.  Maruti^ which plans to raise prices on some of its models^  said cost of materials at the company rose 31.3% to 110.43 billion rupees ($1.51 billion) in the third quarter ended Dec. 31^ 2020.,www.in.finance.yahoo.com/news//news/maruti-suzuki-india-quarterly-profit-081745166.html
